,precision,recall,f1-score,support
creme_brulee,0.6792452830188679,0.6878980891719745,0.6835443037974683,157.0
croque_madame,0.4470588235294118,0.59375,0.5100671140939598,128.0
cup_cakes,0.639751552795031,0.6866666666666666,0.662379421221865,150.0
deviled_eggs,0.5618556701030928,0.6855345911949685,0.6175637393767706,159.0
donuts,0.7124183006535948,0.6488095238095238,0.6791277258566978,168.0
dumplings,0.8082191780821918,0.7329192546583851,0.7687296416938111,161.0
edamame,0.946969696969697,0.946969696969697,0.946969696969697,132.0
eggs_benedict,0.5965909090909091,0.7046979865771812,0.6461538461538462,149.0
escargots,0.6717557251908397,0.5714285714285714,0.6175438596491228,154.0
falafel,0.4268292682926829,0.4861111111111111,0.45454545454545453,144.0
filet_mignon,0.3382352941176471,0.2893081761006289,0.31186440677966104,159.0
fish_and_chips,0.5153374233128835,0.5419354838709678,0.5283018867924528,155.0
foie_gras,0.3,0.28662420382165604,0.2931596091205212,157.0
french_fries,0.6602564102564102,0.6912751677852349,0.6754098360655738,149.0
french_onion_soup,0.5960264900662252,0.5769230769230769,0.5863192182410424,156.0
french_toast,0.4305555555555556,0.4305555555555556,0.4305555555555556,144.0
fried_calamari,0.6475409836065574,0.4968553459119497,0.5622775800711743,159.0
fried_rice,0.455,0.7,0.5515151515151515,130.0
frozen_yogurt,0.6861313868613139,0.7286821705426356,0.706766917293233,129.0
garlic_bread,0.4444444444444444,0.5255474452554745,0.4816053511705686,137.0
gnocchi,0.45864661654135336,0.3860759493670886,0.41924398625429554,158.0
greek_salad,0.5333333333333333,0.5673758865248227,0.5498281786941581,141.0
grilled_cheese_sandwich,0.4024390243902439,0.4647887323943662,0.43137254901960786,142.0
grilled_salmon,0.31125827814569534,0.32413793103448274,0.31756756756756754,145.0
guacamole,0.7302631578947368,0.7655172413793103,0.7474747474747475,145.0
gyoza,0.5228758169934641,0.6060606060606061,0.5614035087719298,132.0
hamburger,0.5947712418300654,0.5515151515151515,0.5723270440251572,165.0
hot_and_sour_soup,0.7032258064516129,0.8134328358208955,0.754325259515571,134.0
hot_dog,0.6604938271604939,0.6948051948051948,0.6772151898734177,154.0
huevos_rancheros,0.2900763358778626,0.26573426573426573,0.2773722627737226,143.0
hummus,0.32679738562091504,0.3125,0.3194888178913738,160.0
ice_cream,0.45251396648044695,0.525974025974026,0.4864864864864865,154.0
lasagna,0.42207792207792205,0.4513888888888889,0.436241610738255,144.0
lobster_bisque,0.8392857142857143,0.6225165562913907,0.714828897338403,151.0
lobster_roll_sandwich,0.6037735849056604,0.5783132530120482,0.5907692307692308,166.0
macaroni_and_cheese,0.5314685314685315,0.5170068027210885,0.5241379310344828,147.0
macarons,0.7414965986394558,0.8582677165354331,0.7956204379562044,127.0
miso_soup,0.8137931034482758,0.8137931034482758,0.8137931034482758,145.0
mussels,0.8382352941176471,0.76,0.7972027972027972,150.0
nachos,0.5314685314685315,0.5390070921985816,0.5352112676056338,141.0
omelette,0.32592592592592595,0.3120567375886525,0.3188405797101449,141.0
onion_rings,0.7266666666666667,0.7841726618705036,0.754325259515571,139.0
oysters,0.7218543046357616,0.7465753424657534,0.734006734006734,146.0
pad_thai,0.543010752688172,0.7593984962406015,0.6332288401253918,133.0
paella,0.5486111111111112,0.5337837837837838,0.541095890410959,148.0
pancakes,0.6190476190476191,0.5796178343949044,0.5986842105263158,157.0
panna_cotta,0.398876404494382,0.44654088050314467,0.42136498516320475,159.0
peking_duck,0.5726495726495726,0.42948717948717946,0.4908424908424908,156.0
pho,0.7543859649122807,0.8012422360248447,0.7771084337349398,161.0
pizza,0.6823529411764706,0.7785234899328859,0.7272727272727273,149.0
pork_chop,0.3253012048192771,0.17880794701986755,0.23076923076923078,151.0
poutine,0.6266666666666667,0.6962962962962963,0.6596491228070176,135.0
prime_rib,0.5547945205479452,0.574468085106383,0.5644599303135889,141.0
pulled_pork_sandwich,0.42073170731707316,0.45098039215686275,0.4353312302839117,153.0
ramen,0.5316455696202531,0.5454545454545454,0.5384615384615384,154.0
ravioli,0.3879310344827586,0.30405405405405406,0.3409090909090909,148.0
red_velvet_cake,0.6733333333333333,0.7062937062937062,0.689419795221843,143.0
risotto,0.49557522123893805,0.39436619718309857,0.4392156862745098,142.0
samosa,0.4293785310734463,0.5135135135135135,0.4676923076923077,148.0
sashimi,0.6586826347305389,0.7096774193548387,0.6832298136645962,155.0
scallops,0.2937062937062937,0.26582278481012656,0.27906976744186046,158.0
seaweed_salad,0.7449664429530202,0.8043478260869565,0.7735191637630662,138.0
shrimp_and_grits,0.4011299435028249,0.4797297297297297,0.4369230769230769,148.0
spaghetti_bolognese,0.6923076923076923,0.6293706293706294,0.6593406593406593,143.0
spaghetti_carbonara,0.7718120805369127,0.8394160583941606,0.8041958041958042,137.0
spring_rolls,0.6666666666666666,0.6064516129032258,0.6351351351351351,155.0
steak,0.25217391304347825,0.22137404580152673,0.23577235772357724,131.0
strawberry_shortcake,0.5568181818181818,0.632258064516129,0.5921450151057401,155.0
sushi,0.5531914893617021,0.5306122448979592,0.5416666666666666,147.0
tacos,0.44,0.44,0.44,150.0
takoyaki,0.6171875,0.5197368421052632,0.5642857142857143,152.0
tiramisu,0.42045454545454547,0.4713375796178344,0.4444444444444444,157.0
tuna_tartare,0.2619047619047619,0.23076923076923078,0.24535315985130113,143.0
waffles,0.6518987341772152,0.6094674556213018,0.6299694189602446,169.0
accuracy,0.5486468646864686,0.5486468646864686,0.5486468646864686,0.5486468646864686
macro avg,0.5469658608476619,0.5502833636586266,0.5457692595457525,15150.0
weighted avg,0.5477376930416441,0.5486468646864686,0.5453741703421221,15150.0
